%sample	normalised time	PH_DA	PH_IA	PA_Aortic Flow [L/min]	PA_Branch Flow [mL/min]

0.007	0.005	0.0287	0.0097	8.762	97.748
0.013	0.009	0.0283	0.0100	8.640	100.432
0.020	0.014	0.0280	0.0102	8.544	103.236
0.027	0.019	0.0281	0.0103	8.586	104.080
0.033	0.024	0.0286	0.0099	8.745	99.387
0.040	0.028	0.0285	0.0096	8.692	96.376
0.047	0.033	0.0289	0.0093	8.814	94.092
0.053	0.038	0.0295	0.0090	9.015	91.124
0.060	0.042	0.0302	0.0089	9.235	89.888
0.067	0.047	0.0298	0.0091	9.102	91.268
0.073	0.052	0.0308	0.0092	9.420	92.437
0.080	0.057	0.0313	0.0094	9.566	94.334
0.087	0.061	0.0320	0.0095	9.762	95.417
0.093	0.066	0.0323	0.0094	9.878	94.258
0.100	0.071	0.0322	0.0093	9.843	93.415
0.107	0.075	0.0323	0.0094	9.881	94.277
0.113	0.080	0.0321	0.0095	9.800	96.174
0.120	0.085	0.0325	0.0097	9.918	97.461
0.127	0.090	0.0318	0.0099	9.718	99.729
0.133	0.094	0.0322	0.0099	9.820	99.721
0.140	0.099	0.0321	0.0095	9.801	95.565
0.147	0.104	0.0318	0.0091	9.724	91.697
0.153	0.108	0.0313	0.0086	9.552	86.240
0.160	0.113	0.0300	0.0083	9.161	83.872
0.167	0.118	0.0292	0.0087	8.931	87.313
0.173	0.123	0.0297	0.0089	9.064	89.443
0.180	0.127	0.0286	0.0090	8.727	90.508
0.186	0.132	0.0288	0.0090	8.799	91.034
0.193	0.137	0.0281	0.0090	8.597	90.769
0.200	0.142	0.0278	0.0091	8.484	91.297
0.206	0.146	0.0279	0.0093	8.512	93.975
0.213	0.151	0.0280	0.0097	8.553	97.806
0.220	0.156	0.0278	0.0100	8.490	100.801
0.226	0.160	0.0268	0.0100	8.199	100.794
0.233	0.165	0.0272	0.0101	8.314	102.238
0.240	0.170	0.0271	0.0106	8.278	106.546
0.246	0.175	0.0273	0.0116	8.325	116.442
0.253	0.179	0.0275	0.0123	8.411	123.942
0.260	0.184	0.0278	0.0129	8.495	129.660
0.266	0.189	0.0280	0.0129	8.538	129.777
0.273	0.193	0.0280	0.0122	8.549	122.488
0.280	0.198	0.0273	0.0117	8.337	117.944
0.286	0.203	0.0281	0.0112	8.576	113.236
0.293	0.208	0.0280	0.0110	8.562	110.665
0.300	0.212	0.0277	0.0107	8.471	107.649
0.306	0.217	0.0270	0.0102	8.241	102.537
0.313	0.222	0.0266	0.0096	8.139	96.862
0.320	0.226	0.0267	0.0090	8.168	90.459
0.326	0.231	0.0266	0.0088	8.112	88.385
0.333	0.236	0.0265	0.0087	8.099	88.058
0.340	0.241	0.0262	0.0085	7.990	85.902
0.346	0.245	0.0267	0.0089	8.156	89.472
0.353	0.250	0.0262	0.0092	8.014	92.493
0.360	0.255	0.0261	0.0090	7.969	91.172
0.366	0.259	0.0258	0.0089	7.873	89.922
0.373	0.264	0.0254	0.0086	7.756	86.734
0.380	0.269	0.0250	0.0083	7.651	83.415
0.386	0.274	0.0248	0.0083	7.565	83.865
0.393	0.278	0.0241	0.0083	7.368	83.173
0.400	0.283	0.0237	0.0087	7.246	87.567
0.406	0.288	0.0225	0.0088	6.880	89.012
0.413	0.292	0.0211	0.0089	6.434	89.797
0.420	0.297	0.0202	0.0086	6.181	86.865
0.426	0.302	0.0188	0.0080	5.754	80.713
0.433	0.307	0.0175	0.0079	5.358	79.538
0.440	0.311	0.0165	0.0077	5.040	77.696
0.446	0.316	0.0148	0.0078	4.521	78.206
0.453	0.321	0.0132	0.0084	4.032	84.934
0.460	0.325	0.0121	0.0086	3.686	86.534
0.466	0.330	0.0109	0.0086	3.322	87.047
0.473	0.335	0.0093	0.0086	2.855	87.021
0.480	0.340	0.0079	0.0084	2.409	84.875
0.486	0.344	0.0065	0.0084	1.990	84.683
0.493	0.349	0.0054	0.0088	1.647	88.295
0.500	0.354	0.0043	0.0091	1.329	92.094
0.506	0.358	0.0041	0.0100	1.239	101.091
0.513	0.363	0.0039	0.0115	1.182	115.429
0.519	0.368	0.0048	0.0142	1.461	143.446
0.526	0.373	0.0080	0.0181	2.449	182.344
0.533	0.377	0.0116	0.0204	3.558	205.525
0.539	0.382	0.0142	0.0201	4.335	202.525
0.546	0.387	0.0169	0.0188	5.159	189.221
0.553	0.392	0.0190	0.0163	5.811	164.123
0.559	0.396	0.0204	0.0141	6.241	141.582
0.566	0.401	0.0198	0.0126	6.063	127.020
0.573	0.406	0.0193	0.0124	5.889	125.184
0.579	0.410	0.0180	0.0124	5.495	124.606
0.586	0.415	0.0165	0.0127	5.045	127.693
0.593	0.420	0.0155	0.0125	4.722	125.483
0.599	0.425	0.0166	0.0112	5.074	112.845
0.606	0.429	0.0184	0.0096	5.623	96.899
0.613	0.434	0.0222	0.0084	6.772	84.833
0.619	0.439	0.0258	0.0079	7.871	79.432
0.626	0.443	0.0275	0.0082	8.396	83.109
0.633	0.448	0.0315	0.0093	9.617	93.600
0.639	0.453	0.0343	0.0098	10.475	98.438
0.646	0.458	0.0357	0.0097	10.902	97.983
0.653	0.462	0.0363	0.0093	11.074	94.156
0.659	0.467	0.0375	0.0092	11.466	93.040
0.666	0.472	0.0367	0.0092	11.206	92.893
0.673	0.476	0.0339	0.0089	10.343	89.639
0.679	0.481	0.0326	0.0083	9.943	83.961
0.686	0.486	0.0291	0.0075	8.882	75.939
0.693	0.491	0.0284	0.0069	8.677	69.466
0.699	0.495	0.0277	0.0062	8.475	62.891
0.706	0.500	0.0276	0.0057	8.419	57.018
0.713	0.505	0.0272	0.0051	8.320	51.290
0.719	0.509	0.0266	0.0047	8.130	47.333
0.726	0.514	0.0263	0.0046	8.041	46.251
0.733	0.519	0.0249	0.0046	7.612	46.714
0.739	0.524	0.0233	0.0047	7.122	47.367
0.746	0.528	0.0209	0.0049	6.394	48.987
0.753	0.533	0.0170	0.0048	5.189	48.403
0.759	0.538	0.0122	0.0047	3.727	46.873
0.766	0.542	0.0086	0.0046	2.637	46.348
0.773	0.547	0.0060	0.0052	1.822	52.399
0.779	0.552	0.0047	0.0062	1.426	62.218
0.786	0.557	0.0045	0.0070	1.375	70.172
0.793	0.561	0.0051	0.0071	1.564	71.725
0.799	0.566	0.0062	0.0069	1.884	69.982
0.806	0.571	0.0077	0.0067	2.358	67.370
0.813	0.575	0.0092	0.0067	2.800	67.033
0.819	0.580	0.0114	0.0073	3.475	73.485
0.826	0.585	0.0135	0.0085	4.122	85.828
0.832	0.590	0.0151	0.0100	4.612	101.106
0.839	0.594	0.0170	0.0116	5.177	116.908
0.846	0.599	0.0185	0.0127	5.639	127.850
0.852	0.604	0.0194	0.0131	5.930	132.388
0.859	0.608	0.0205	0.0133	6.256	133.496
0.866	0.613	0.0211	0.0130	6.434	130.879
0.872	0.618	0.0211	0.0124	6.449	124.992
0.879	0.623	0.0210	0.0116	6.419	116.602
0.886	0.627	0.0210	0.0106	6.401	106.310
0.892	0.632	0.0206	0.0096	6.289	97.142
0.899	0.637	0.0202	0.0092	6.158	92.842
0.906	0.642	0.0195	0.0093	5.963	93.693
0.912	0.646	0.0192	0.0096	5.874	96.603
0.919	0.651	0.0189	0.0098	5.786	98.794
0.926	0.656	0.0178	0.0096	5.423	96.583
0.932	0.660	0.0170	0.0091	5.205	91.737
0.939	0.665	0.0161	0.0083	4.911	83.990
0.946	0.670	0.0146	0.0080	4.453	80.413
0.952	0.675	0.0127	0.0077	3.893	77.737
0.959	0.679	0.0118	0.0079	3.598	79.249
0.966	0.684	0.0096	0.0078	2.943	78.168
0.972	0.689	0.0086	0.0075	2.634	75.511
0.979	0.693	0.0074	0.0072	2.249	72.884
0.986	0.698	0.0061	0.0070	1.875	70.066
0.992	0.703	0.0052	0.0068	1.591	68.753
0.999	0.708	0.0045	0.0070	1.376	70.527
1.006	0.712	0.0040	0.0078	1.232	78.437
1.012	0.717	0.0039	0.0086	1.206	86.481
1.019	0.722	0.0042	0.0089	1.281	89.758
1.026	0.726	0.0044	0.0087	1.350	87.646
1.032	0.731	0.0046	0.0079	1.416	79.901
1.039	0.736	0.0053	0.0067	1.625	67.496
1.046	0.741	0.0055	0.0058	1.687	58.088
1.052	0.745	0.0055	0.0050	1.694	50.505
1.059	0.750	0.0055	0.0049	1.666	49.145
1.066	0.755	0.0053	0.0052	1.632	52.249
1.072	0.759	0.0051	0.0055	1.559	55.662
1.079	0.764	0.0051	0.0055	1.554	55.826
1.086	0.769	0.0051	0.0052	1.543	52.496
1.092	0.774	0.0051	0.0051	1.568	50.889
1.099	0.778	0.0055	0.0049	1.686	49.512
1.106	0.783	0.0057	0.0050	1.736	50.362
1.112	0.788	0.0057	0.0054	1.731	54.310
1.119	0.792	0.0057	0.0058	1.749	58.881
1.126	0.797	0.0058	0.0062	1.764	62.603
1.132	0.802	0.0058	0.0067	1.784	67.388
1.139	0.807	0.0062	0.0072	1.897	72.871
1.146	0.811	0.0064	0.0079	1.950	79.228
